raw_model,input_mode,inference_group,condition,human_condition,human_environment,effect_type,target_premise_mean_delta,control_premise_mean_delta,model_effect,human_effect,absolute_error
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Homogeneity,Negative,Homogeneity,Negative,target_delta,0.000,,0.000,46.101,46.101
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Homogeneity,Positive,Homogeneity,Positive,target_delta,0.000,,0.000,26.283,26.283
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Presupposition,None,Presupposition,None,target_delta,0.000,,0.000,51.091,51.091
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Presupposition,Question,Presupposition,Question,target_delta,0.000,,0.000,26.798,26.798
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,0.000,0.000,0.000,50.694,50.694
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,0.000,0.000,0.000,139.582,139.582
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,0.000,0.000,0.000,9.025,9.025
Qwen/Qwen2.5-VL-3B-Instruct,split,Homogeneity,Negative,Homogeneity,Negative,target_delta,10.000,,10.000,46.101,36.101
Qwen/Qwen2.5-VL-3B-Instruct,split,Homogeneity,Positive,Homogeneity,Positive,target_delta,17.500,,17.500,26.283,8.783
Qwen/Qwen2.5-VL-3B-Instruct,split,Presupposition,None,Presupposition,None,target_delta,47.500,,47.500,51.091,3.591
Qwen/Qwen2.5-VL-3B-Instruct,split,Presupposition,Question,Presupposition,Question,target_delta,-17.500,,-17.500,26.798,44.298
Qwen/Qwen2.5-VL-3B-Instruct,split,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,0.000,-26.667,26.667,50.694,24.027
Qwen/Qwen2.5-VL-3B-Instruct,split,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,0.000,-38.333,38.333,139.582,101.249
Qwen/Qwen2.5-VL-3B-Instruct,split,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,35.000,35.000,0.000,9.025,9.025
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Homogeneity,Negative,Homogeneity,Negative,target_delta,72.500,,72.500,46.101,26.399
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Homogeneity,Positive,Homogeneity,Positive,target_delta,-2.500,,-2.500,26.283,28.783
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Presupposition,None,Presupposition,None,target_delta,35.000,,35.000,51.091,16.091
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Presupposition,Question,Presupposition,Question,target_delta,30.000,,30.000,26.798,3.202
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,6.667,16.667,-10.000,50.694,60.694
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,40.000,-21.667,61.667,139.582,77.916
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,72.500,47.500,25.000,9.025,15.975
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Homogeneity,Negative,Homogeneity,Negative,target_delta,70.000,,70.000,46.101,23.899
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Homogeneity,Positive,Homogeneity,Positive,target_delta,-30.000,,-30.000,26.283,56.283
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Presupposition,None,Presupposition,None,target_delta,95.000,,95.000,51.091,43.909
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Presupposition,Question,Presupposition,Question,target_delta,17.500,,17.500,26.798,9.298
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-28.333,-28.333,0.000,50.694,50.694
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,-63.333,-53.333,-10.000,139.582,149.582
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,2.500,22.500,-20.000,9.025,29.025
Qwen/Qwen2.5-VL-7B-Instruct,split,Homogeneity,Negative,Homogeneity,Negative,target_delta,-5.000,,-5.000,46.101,51.101
Qwen/Qwen2.5-VL-7B-Instruct,split,Homogeneity,Positive,Homogeneity,Positive,target_delta,-25.000,,-25.000,26.283,51.283
Qwen/Qwen2.5-VL-7B-Instruct,split,Presupposition,None,Presupposition,None,target_delta,95.000,,95.000,51.091,43.909
Qwen/Qwen2.5-VL-7B-Instruct,split,Presupposition,Question,Presupposition,Question,target_delta,82.500,,82.500,26.798,55.702
Qwen/Qwen2.5-VL-7B-Instruct,split,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,30.000,-8.333,38.333,50.694,12.360
Qwen/Qwen2.5-VL-7B-Instruct,split,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,56.667,-63.333,120.000,139.582,19.582
Qwen/Qwen2.5-VL-7B-Instruct,split,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,70.000,85.000,-15.000,9.025,24.025
google/gemma-4-12B-it,pure-text,Homogeneity,Negative,Homogeneity,Negative,target_delta,100.000,,100.000,46.101,53.899
google/gemma-4-12B-it,pure-text,Homogeneity,Positive,Homogeneity,Positive,target_delta,50.000,,50.000,26.283,23.717
google/gemma-4-12B-it,pure-text,Presupposition,None,Presupposition,None,target_delta,0.000,,0.000,51.091,51.091
google/gemma-4-12B-it,pure-text,Presupposition,Question,Presupposition,Question,target_delta,0.000,,0.000,26.798,26.798
google/gemma-4-12B-it,pure-text,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-66.667,33.333,-100.000,50.694,150.694
google/gemma-4-12B-it,pure-text,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,100.000,-100.000,200.000,139.582,60.418
google/gemma-4-12B-it,pure-text,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,50.000,50.000,0.000,9.025,9.025
google/gemma-4-12B-it,pure-video,Homogeneity,Negative,Homogeneity,Negative,target_delta,50.000,,50.000,46.101,3.899
google/gemma-4-12B-it,pure-video,Homogeneity,Positive,Homogeneity,Positive,target_delta,0.000,,0.000,26.283,26.283
google/gemma-4-12B-it,pure-video,Presupposition,None,Presupposition,None,target_delta,100.000,,100.000,51.091,48.909
google/gemma-4-12B-it,pure-video,Presupposition,Question,Presupposition,Question,target_delta,0.000,,0.000,26.798,26.798
google/gemma-4-12B-it,pure-video,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-33.333,33.333,-66.667,50.694,117.360
google/gemma-4-12B-it,pure-video,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,-26.667,-63.333,36.667,139.582,102.916
google/gemma-4-12B-it,pure-video,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,0.000,0.000,0.000,9.025,9.025
google/gemma-4-12B-it,split,Homogeneity,Negative,Homogeneity,Negative,target_delta,-100.000,,-100.000,46.101,146.101
google/gemma-4-12B-it,split,Homogeneity,Positive,Homogeneity,Positive,target_delta,0.000,,0.000,26.283,26.283
google/gemma-4-12B-it,split,Presupposition,None,Presupposition,None,target_delta,50.000,,50.000,51.091,1.091
google/gemma-4-12B-it,split,Presupposition,Question,Presupposition,Question,target_delta,0.000,,0.000,26.798,26.798
google/gemma-4-12B-it,split,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,66.667,33.333,33.333,50.694,17.360
google/gemma-4-12B-it,split,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,0.000,-66.667,66.667,139.582,72.916
google/gemma-4-12B-it,split,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,0.000,0.000,0.000,9.025,9.025
