raw_model,input_mode,inference_group,condition,human_condition,human_environment,effect_type,target_premise_mean_delta,control_premise_mean_delta,model_effect,human_effect,absolute_error
Qwen/Qwen2.5-VL-32B-Instruct,split,Homogeneity,Negative,Homogeneity,Negative,target_delta,22.500,,22.500,46.101,23.601
Qwen/Qwen2.5-VL-32B-Instruct,split,Homogeneity,Positive,Homogeneity,Positive,target_delta,10.000,,10.000,26.283,16.283
Qwen/Qwen2.5-VL-32B-Instruct,split,Presupposition,None,Presupposition,None,target_delta,45.000,,45.000,51.091,6.091
Qwen/Qwen2.5-VL-32B-Instruct,split,Presupposition,Question,Presupposition,Question,target_delta,-35.000,,-35.000,26.798,61.798
Qwen/Qwen2.5-VL-32B-Instruct,split,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-6.667,5.000,-11.667,50.694,62.360
Qwen/Qwen2.5-VL-32B-Instruct,split,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,40.000,-45.000,85.000,139.582,54.582
Qwen/Qwen2.5-VL-32B-Instruct,split,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,35.000,45.000,-10.000,9.025,19.025
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Homogeneity,Negative,Homogeneity,Negative,target_delta,32.500,,32.500,46.101,13.601
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Homogeneity,Positive,Homogeneity,Positive,target_delta,-12.500,,-12.500,26.283,38.783
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Presupposition,None,Presupposition,None,target_delta,22.500,,22.500,51.091,28.591
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Presupposition,Question,Presupposition,Question,target_delta,0.000,,0.000,26.798,26.798
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-30.000,-41.667,11.667,50.694,39.027
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,16.667,-11.667,28.333,139.582,111.249
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,35.000,35.000,0.000,9.025,9.025
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Homogeneity,Negative,Homogeneity,Negative,target_delta,0.000,,0.000,46.101,46.101
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Homogeneity,Positive,Homogeneity,Positive,target_delta,0.000,,0.000,26.283,26.283
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Presupposition,None,Presupposition,None,target_delta,0.000,,0.000,51.091,51.091
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Presupposition,Question,Presupposition,Question,target_delta,0.000,,0.000,26.798,26.798
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-15.000,-15.000,0.000,50.694,50.694
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,-5.000,-5.000,0.000,139.582,139.582
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,0.000,10.000,-10.000,9.025,19.025
Qwen/Qwen2.5-VL-3B-Instruct,split,Homogeneity,Negative,Homogeneity,Negative,target_delta,27.500,,27.500,46.101,18.601
Qwen/Qwen2.5-VL-3B-Instruct,split,Homogeneity,Positive,Homogeneity,Positive,target_delta,45.000,,45.000,26.283,18.717
Qwen/Qwen2.5-VL-3B-Instruct,split,Presupposition,None,Presupposition,None,target_delta,45.000,,45.000,51.091,6.091
Qwen/Qwen2.5-VL-3B-Instruct,split,Presupposition,Question,Presupposition,Question,target_delta,22.500,,22.500,26.798,4.298
Qwen/Qwen2.5-VL-3B-Instruct,split,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-30.000,-36.667,6.667,50.694,44.027
Qwen/Qwen2.5-VL-3B-Instruct,split,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,-15.000,-41.667,26.667,139.582,112.916
Qwen/Qwen2.5-VL-3B-Instruct,split,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,45.000,42.500,2.500,9.025,6.525
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Homogeneity,Negative,Homogeneity,Negative,target_delta,70.000,,70.000,46.101,23.899
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Homogeneity,Positive,Homogeneity,Positive,target_delta,0.000,,0.000,26.283,26.283
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Presupposition,None,Presupposition,None,target_delta,35.000,,35.000,51.091,16.091
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Presupposition,Question,Presupposition,Question,target_delta,35.000,,35.000,26.798,8.202
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,0.000,0.000,0.000,50.694,50.694
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,36.667,-20.000,56.667,139.582,82.916
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,65.000,65.000,0.000,9.025,9.025
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Homogeneity,Negative,Homogeneity,Negative,target_delta,50.000,,50.000,46.101,3.899
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Homogeneity,Positive,Homogeneity,Positive,target_delta,-20.000,,-20.000,26.283,46.283
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Presupposition,None,Presupposition,None,target_delta,82.500,,82.500,51.091,31.409
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Presupposition,Question,Presupposition,Question,target_delta,0.000,,0.000,26.798,26.798
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-33.333,-46.667,13.333,50.694,37.360
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,-46.667,-66.667,20.000,139.582,119.582
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,-5.000,15.000,-20.000,9.025,29.025
Qwen/Qwen2.5-VL-7B-Instruct,split,Homogeneity,Negative,Homogeneity,Negative,target_delta,50.000,,50.000,46.101,3.899
Qwen/Qwen2.5-VL-7B-Instruct,split,Homogeneity,Positive,Homogeneity,Positive,target_delta,-20.000,,-20.000,26.283,46.283
Qwen/Qwen2.5-VL-7B-Instruct,split,Presupposition,None,Presupposition,None,target_delta,70.000,,70.000,51.091,18.909
Qwen/Qwen2.5-VL-7B-Instruct,split,Presupposition,Question,Presupposition,Question,target_delta,70.000,,70.000,26.798,43.202
Qwen/Qwen2.5-VL-7B-Instruct,split,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,35.000,-15.000,50.000,50.694,0.694
Qwen/Qwen2.5-VL-7B-Instruct,split,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,21.667,-70.000,91.667,139.582,47.916
Qwen/Qwen2.5-VL-7B-Instruct,split,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,65.000,70.000,-5.000,9.025,14.025
google/gemma-4-12B-it,pure-text,Homogeneity,Negative,Homogeneity,Negative,target_delta,100.000,,100.000,46.101,53.899
google/gemma-4-12B-it,pure-text,Homogeneity,Positive,Homogeneity,Positive,target_delta,55.000,,55.000,26.283,28.717
google/gemma-4-12B-it,pure-text,Presupposition,None,Presupposition,None,target_delta,0.000,,0.000,51.091,51.091
google/gemma-4-12B-it,pure-text,Presupposition,Question,Presupposition,Question,target_delta,0.000,,0.000,26.798,26.798
google/gemma-4-12B-it,pure-text,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-69.667,30.000,-99.667,50.694,150.360
google/gemma-4-12B-it,pure-text,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,66.000,-96.667,162.667,139.582,23.084
google/gemma-4-12B-it,pure-text,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,50.000,50.000,0.000,9.025,9.025
google/gemma-4-12B-it,pure-video,Homogeneity,Negative,Homogeneity,Negative,target_delta,0.000,,0.000,46.101,46.101
google/gemma-4-12B-it,pure-video,Homogeneity,Positive,Homogeneity,Positive,target_delta,0.000,,0.000,26.283,26.283
google/gemma-4-12B-it,pure-video,Presupposition,None,Presupposition,None,target_delta,47.000,,47.000,51.091,4.091
google/gemma-4-12B-it,pure-video,Presupposition,Question,Presupposition,Question,target_delta,2.500,,2.500,26.798,24.298
google/gemma-4-12B-it,pure-video,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-59.667,-30.000,-29.667,50.694,80.360
google/gemma-4-12B-it,pure-video,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,9.667,-86.667,96.333,139.582,43.249
google/gemma-4-12B-it,pure-video,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,5.000,0.000,5.000,9.025,4.025
google/gemma-4-12B-it,split,Homogeneity,Negative,Homogeneity,Negative,target_delta,-100.000,,-100.000,46.101,146.101
google/gemma-4-12B-it,split,Homogeneity,Positive,Homogeneity,Positive,target_delta,0.000,,0.000,26.283,26.283
google/gemma-4-12B-it,split,Presupposition,None,Presupposition,None,target_delta,49.500,,49.500,51.091,1.591
google/gemma-4-12B-it,split,Presupposition,Question,Presupposition,Question,target_delta,0.000,,0.000,26.798,26.798
google/gemma-4-12B-it,split,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-30.000,-30.000,0.000,50.694,50.694
google/gemma-4-12B-it,split,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,-30.000,-60.000,30.000,139.582,109.582
google/gemma-4-12B-it,split,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,0.000,0.000,0.000,9.025,9.025
