model,raw_model,input_mode,source_video,task_family,premise,condition,target_score,baseline_score,target_minus_baseline,target_response,baseline_response
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Homogeneity2_TargetPremise(Positive).m4v,Homogeneity2,TargetPremise,Positive,95,50,45,95,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Homogeneity2_TargetPremise(Positive).m4v,Homogeneity2,TargetPremise,Positive,50,75,-25,50,75
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Homogeneity2_TargetPremise(Positive).m4v,Homogeneity2,TargetPremise,Positive,50,50,0,50,50
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Homogeneity2_TargetPremise(Positive).m4v,Homogeneity2,TargetPremise,Positive,25,25,0,25,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Homogeneity2_TargetPremise(Positive).m4v,Homogeneity2,TargetPremise,Positive,25,25,0,25,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Homogeneity2_TargetPremise(Positive).m4v,Homogeneity2,TargetPremise,Positive,25,25,0,25,25
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Homogeneity2_TargetPremise(Positive).m4v,Homogeneity2,TargetPremise,Positive,100,100,0,100,100
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Homogeneity2_TargetPremise(Positive).m4v,Homogeneity2,TargetPremise,Positive,10,0,10,10,0
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Homogeneity2_TargetPremise(Positive).m4v,Homogeneity2,TargetPremise,Positive,100,100,0,100,100
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,95,50,45,95,50
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,95,50,45,95,"50

The animation shows that Nathan"
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,50,50,0,50,50
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,95,50,45,95,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,95,50,45,95,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,50,50,0,50,50
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,95,25,70,95,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,95,25,70,95,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,95,25,70,95,25
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,0,100,-100,0,100
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,100,0,100,100,0
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,100,100,0,100,100
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,50,85,-35,50,85
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,50,85,-35,"50

The animation shows the antenna",85
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,50,85,-35,50,85
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,95,95,0,95,95
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,85,85,0,85,85
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,95,95,0,95,95
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,95,25,70,95,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,95,95,0,95,95
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,95,95,0,95,95
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,100,100,0,100,100
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,0,100,-100,0,"thought
100"
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,90,85,5,90,85
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,95,50,45,95,50
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,75,75,0,"75

The video suggests that none","75

The animation shows the bar"
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,85,50,35,85,50
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,95,50,45,95,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,95,85,10,95,85
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,50,50,0,50,50
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,95,25,70,95,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,95,25,70,95,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,95,25,70,95,25
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,100,100,0,100,100
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,0,100,-100,0,100
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,95,100,-5,95,100
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,50,85,-35,50,85
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,50,75,-25,"50

The video shows the green",75
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,50,50,0,50,50
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,95,50,45,95,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,85,85,0,85,85
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,50,50,0,50,50
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,95,25,70,95,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,95,25,70,95,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,95,95,0,95,95
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,100,100,0,100,100
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,100,0,100,100,0
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,100,100,0,100,100
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,95,50,45,95,50
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,75,50,25,"75

### Explanation:
- **","50

### Explanation:
- **"
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,95,0,95,95,0
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,95,50,45,95,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,85,50,35,85,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,50,50,0,50,50
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,95,25,70,95,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,25,25,0,25,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,95,0,95,95,0
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,100,1,99,100,1
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,100,0,100,100,0
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,100,1,99,100,1
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,85,50,35,85,50
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,50,50,0,"50

The statement ""This week","50

The statement ""This week"
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,50,75,-25,50,75
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,50,50,0,50,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,50,50,0,50,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,35,50,-15,35,50
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,25,25,0,25,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,65,25,40,65,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,25,95,-70,25,95
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,10,100,-90,10,100
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,100,100,0,100,100
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,10,90,-80,10,90
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,50,95,-45,50,95
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,50,50,0,50,"50

The statement ""This week"
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,50,50,0,50,50
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,50,95,-45,50,95
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,50,50,0,50,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,35,50,-15,35,50
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,25,95,-70,25,95
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,25,25,0,25,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,25,85,-60,25,85
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,10,100,-90,10,100
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,0,100,-100,0,100
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,10,95,-85,10,95
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\ScalarImplicature1_TargetPremise(Negative).m4v,ScalarImplicature1,TargetPremise,Negative,50,20,30,50,20
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Negative).m4v,ScalarImplicature1,TargetPremise,Negative,50,50,0,"50

The sequence suggests that Jenny",50
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Negative).m4v,ScalarImplicature1,TargetPremise,Negative,25,50,-25,25,50
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\ScalarImplicature1_TargetPremise(Negative).m4v,ScalarImplicature1,TargetPremise,Negative,50,95,-45,50,95
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\ScalarImplicature1_TargetPremise(Negative).m4v,ScalarImplicature1,TargetPremise,Negative,50,95,-45,50,95
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\ScalarImplicature1_TargetPremise(Negative).m4v,ScalarImplicature1,TargetPremise,Negative,50,95,-45,50,95
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\ScalarImplicature1_TargetPremise(Negative).m4v,ScalarImplicature1,TargetPremise,Negative,65,25,40,65,25
